Date,AAPL,FB,GOOG,JPM,^GSPC
2016-11-21,106.788933,120.379997,761.679993,72.645622,2213.350098
2016-11-28,104.983475,115.400002,750.5,75.198288,2191.949951
2016-12-05,108.852295,119.68,789.289978,78.783104,2259.530029
2016-12-12,110.781929,119.870003,790.799988,78.27626,2258.070068
2016-12-19,111.30732,117.269997,789.909973,80.220718,2263.790039
2016-12-26,110.638626,115.050003,771.820007,79.520355,2238.830078
2017-01-02,112.635139,123.410004,806.150024,79.363686,2276.97998
2017-01-09,113.714584,128.339996,807.880005,80.340263,2274.639893
2017-01-16,114.631653,127.040001,805.02002,77.532539,2271.310059
2017-01-23,116.494415,132.179993,823.309998,80.553406,2294.689941
2017-01-30,123.305435,130.979996,801.48999,80.785072,2297.419922
2017-02-06,126.209427,134.190002,813.669983,80.618263,2316.100098
2017-02-13,130.210526,133.529999,828.070007,83.611351,2351.159912
2017-02-20,131.11235,135.440002,828.640015,83.70401,2367.340088
2017-02-27,134.105652,137.169998,829.080017,85.992821,2383.120117
2017-03-06,133.491669,138.789993,843.25,84.58432,2372.600098
2017-03-13,134.307159,139.839996,852.119995,84.028328,2378.25
2017-03-20,134.930756,140.339996,814.429993,80.887001,2343.97998
2017-03-27,137.828171,142.050003,829.559998,81.396629,2362.719971
2017-04-03,137.521149,140.779999,824.669983,79.858414,2355.540039
2017-04-10,135.324158,139.389999,823.559998,79.111412,2328.949951
2017-04-17,136.494598,143.679993,843.190002,79.2239,2348.689941
2017-04-24,137.818558,150.25,905.960022,81.548485,2384.199951
2017-05-01,142.91301,150.240005,927.130005,81.548485,2399.290039
2017-05-08,149.763168,150.330002,932.219971,81.473495,2390.899902
2017-05-15,147.452682,148.059998,934.01001,79.46759,2381.72998
2017-05-22,147.982559,152.130005,971.469971,80.011261,2415.820068
2017-05-29,149.755157,153.610001,975.599976,77.461693,2439.070068
2017-06-05,143.522141,149.600006,949.830017,81.510986,2431.77002
2017-06-12,137.057983,150.639999,939.780029,80.779869,2433.149902
2017-06-19,140.921082,155.070007,965.590027,81.417267,2438.300049
2017-06-26,138.743896,150.979996,908.72998,85.672791,2423.409912
2017-07-03,138.89801,151.440002,918.590027,87.969254,2425.179932
2017-07-10,143.579956,159.970001,955.98999,86.945152,2459.27002
2017-07-17,144.764908,164.429993,972.919983,85.663345,2472.540039
2017-07-24,144.023117,172.449997,941.530029,86.03093,2472.100098
2017-07-31,150.660721,169.619995,927.960022,88.274063,2476.830078
2017-08-07,151.710785,168.080002,914.390015,86.162872,2441.320068
2017-08-14,152.325897,167.410004,910.669983,85.52198,2425.550049
2017-08-21,154.608353,166.320007,915.890015,86.60585,2443.050049
2017-08-28,158.660706,172.020004,937.340027,86.426773,2476.550049
2017-09-04,153.418777,170.949997,926.5,83.335396,2461.429932
2017-09-11,154.627701,171.639999,920.289978,86.351387,2500.22998
2017-09-18,146.900177,170.539993,928.530029,89.376778,2502.219971
2017-09-25,149.0569,170.869995,959.109985,90.017685,2519.360107
2017-10-02,150.198135,172.229996,978.890015,91.346588,2549.330078
2017-10-09,151.832642,173.740005,989.679993,90.875679,2553.169922
2017-10-16,151.116959,174.979996,988.200012,94.335892,2575.209961
2017-10-23,157.693542,177.880005,1019.27002,96.478386,2581.070068
2017-10-30,166.833115,178.919998,1032.47998,96.1371,2587.840088
2017-11-06,168.931808,178.460007,1028.069946,92.439888,2582.300049
2017-11-13,165.151871,179.0,1019.090027,93.037132,2578.850098
2017-11-20,169.830307,182.779999,1040.609985,93.207771,2602.419922
2017-11-27,166.025436,175.100006,1010.169983,99.341354,2642.219971
2017-12-04,164.394775,179.0,1037.050049,100.422089,2651.5
2017-12-11,168.859665,180.179993,1064.189941,100.621155,2675.810059
2017-12-18,169.86911,177.199997,1060.119995,101.863037,2683.340088
2017-12-25,164.258896,176.460007,1046.400024,101.379578,2673.610107
2018-01-01,169.859406,186.850006,1102.22998,102.706764,2743.149902
2018-01-08,171.888031,179.369995,1122.26001,107.368042,2786.23999
2018-01-15,173.217789,181.289993,1137.51001,107.692047,2810.300049
2018-01-22,166.471924,190.0,1175.839966,110.846291,2872.870117
2018-01-29,155.78537,190.279999,1111.900024,108.902283,2762.129883
2018-02-05,151.815491,176.110001,1037.780029,104.861809,2619.550049
2018-02-12,168.047272,177.360001,1094.800049,109.28347,2732.219971
2018-02-19,171.039246,183.289993,1126.790039,111.789703,2747.300049
2018-02-26,171.731186,176.619995,1078.920044,107.987457,2691.25
2018-03-05,175.405365,185.229996,1160.040039,112.485352,2786.570068
2018-03-12,173.495193,185.089996,1135.72998,110.007698,2752.01001
2018-03-19,160.747635,159.389999,1021.570007,101.974388,2588.26001
2018-03-26,163.515457,159.789993,1031.790039,104.795105,2640.870117
2018-04-02,164.100235,157.199997,1007.039978,103.956497,2604.469971
2018-04-09,170.288803,164.520004,1029.27002,105.642593,2656.300049
2018-04-16,161.507813,166.279999,1072.959961,106.763176,2670.139893
2018-04-23,158.194244,173.589996,1030.050049,104.780594,2669.909912
2018-04-30,179.157516,176.610001,1048.209961,103.851547,2663.419922
2018-05-07,183.796524,186.990005,1098.26001,109.052269,2727.719971
2018-05-14,182.274643,182.679993,1066.359985,106.437538,2712.969971
2018-05-21,184.495499,184.919998,1075.660034,105.987404,2721.330078
2018-05-28,186.119507,193.990005,1119.5,103.822815,2734.620117
2018-06-04,187.547913,189.100006,1120.869995,106.418388,2779.030029
2018-06-11,184.749863,195.850006,1152.26001,103.343925,2779.659912
2018-06-18,180.914749,201.740005,1155.47998,101.284706,2754.879883
2018-06-25,181.100647,194.320007,1115.650024,99.800148,2718.370117
2018-07-02,183.898682,203.229996,1140.170044,99.666069,2759.820068
2018-07-09,187.185898,207.320007,1188.819946,102.422546,2801.310059
2018-07-16,187.293564,209.940002,1184.910034,107.160393,2801.830078
2018-07-23,186.843521,174.889999,1238.5,111.73455,2818.820068
2018-07-30,203.485062,177.779999,1223.709961,112.75531,2840.350098
2018-08-06,203.035034,180.259995,1237.609985,111.445663,2833.280029
2018-08-13,213.613892,173.800003,1200.959961,110.521194,2850.129883
2018-08-20,212.219803,174.649994,1220.650024,110.434525,2874.689941
2018-08-27,223.480713,175.729996,1218.189941,110.338234,2901.52002
2018-09-03,217.266113,163.039993,1164.829956,110.087852,2871.679932
2018-09-10,219.759811,162.320007,1172.530029,109.29821,2904.97998
2018-09-17,213.692459,162.929993,1166.089966,113.487175,2929.669922
2018-09-24,221.625168,164.460007,1193.469971,108.662643,2913.97998
2018-10-01,220.201599,157.330002,1157.349976,110.376755,2885.570068
2018-10-08,218.06134,153.740005,1110.079956,103.711914,2767.129883
2018-10-15,215.312363,154.050003,1096.459961,104.642845,2767.780029
2018-10-22,212.357239,145.369995,1071.469971,100.288788,2658.689941
2018-10-29,203.697998,150.350006,1057.790039,105.098618,2723.060059
2018-11-05,200.742874,144.960007,1066.150024,107.920509,2781.01001
2018-11-12,190.665237,139.529999,1061.48999,106.659882,2736.27002
2018-11-19,169.739655,131.729996,1023.880005,103.420998,2632.560059
2018-11-26,175.936554,140.610001,1094.430054,107.823547,2760.169922
2018-12-03,165.995926,137.419998,1036.579956,100.162727,2633.080078
2018-12-10,163.030457,144.059998,1042.099976,97.253563,2599.949951
2018-12-17,148.498795,124.949997,979.539978,91.318848,2416.620117
2018-12-24,153.917389,133.199997,1037.079956,93.898323,2485.73999
2018-12-31,146.065353,137.949997,1070.709961,97.641457,2531.939941
2019-01-07,150.035706,143.800003,1057.189941,97.671875,2596.26001
2019-01-14,154.498657,150.039993,1098.26001,102.247025,2670.709961
2019-01-21,155.424744,149.009995,1090.98999,101.073914,2664.76001
2019-01-28,164.055069,165.710007,1110.75,101.552933,2706.530029
2019-02-04,167.887497,167.330002,1095.060059,99.089386,2707.879883
2019-02-11,168.617432,162.5,1113.650024,103.185524,2775.600098
2019-02-18,171.140442,161.889999,1110.369995,102.647842,2792.669922
2019-02-25,173.119278,162.279999,1140.98999,102.090614,2803.689941
2019-03-04,171.081085,169.600006,1142.319946,100.702423,2743.070068
2019-03-11,184.151337,165.979996,1184.459961,104.163124,2822.47998
2019-03-18,189.029205,164.339996,1205.5,97.52523,2800.709961
2019-03-25,187.940842,166.690002,1173.310059,98.962303,2834.399902
2019-04-01,194.91626,175.720001,1207.150024,102.950897,2892.73999
2019-04-08,196.766495,179.100006,1217.869995,109.550629,2907.409912
2019-04-15,201.70372,178.279999,1236.369995,111.767052,2905.030029
2019-04-22,202.139069,191.490005,1272.180054,112.761993,2939.879883
2019-04-29,209.510269,195.470001,1185.400024,114.387367,2945.639893
2019-05-06,195.09436,188.339996,1164.27002,110.831238,2881.399902
2019-05-13,187.721039,185.300003,1162.300049,109.117188,2859.530029
2019-05-20,177.758911,181.059998,1133.469971,108.073013,2826.060059
2019-05-27,173.8853,177.470001,1103.630005,104.37896,2752.060059
2019-06-03,188.863251,173.350006,1066.040039,107.531227,2873.340088
2019-06-10,191.43573,181.330002,1085.349976,108.181366,2886.97998
2019-06-17,197.434845,191.139999,1121.880005,107.807045,2950.459961
2019-06-24,196.580658,193.0,1080.910034,110.131828,2941.76001
2019-07-01,202.847961,196.399994,1131.589966,111.796608,2990.409912
2019-07-08,201.924271,204.869995,1144.900024,114.383713,3013.77002
2019-07-15,201.21907,198.360001,1130.099976,112.637695,2976.610107
2019-07-22,206.334213,199.75,1250.410034,115.296394,3025.860107
2019-07-29,202.639389,189.020004,1193.98999,112.032539,2932.050049
2019-08-05,199.629898,187.850006,1188.01001,108.867889,2918.649902
2019-08-12,205.881882,183.699997,1177.599976,106.863945,2888.679932
2019-08-19,202.033447,177.75,1151.290039,105.177452,2847.110107
2019-08-26,208.115189,185.669998,1188.099976,108.986938,2926.459961
2019-09-02,212.621643,187.490005,1204.930054,111.715088,2978.709961
2019-09-09,218.095215,187.190002,1239.560059,119.274529,3007.389893
2019-09-16,217.078262,189.929993,1229.930054,117.955101,2992.070068
2019-09-23,218.165024,177.100006,1225.089966,116.784477,2961.790039
2019-09-30,226.33049,180.449997,1209.0,113.709114,2952.01001
2019-10-07,235.50296,184.190002,1215.449951,116.139999,2970.27002
2019-10-14,235.702362,185.850006,1245.48999,120.559998,2986.199951
2019-10-21,245.841919,187.889999,1265.130005,126.029999,3022.550049
2019-10-28,255.05426,193.619995,1273.73999,127.800003,3066.909912
2019-11-04,259.361328,190.839996,1311.369995,130.380005,3093.080078
2019-11-11,265.76001,195.100006,1334.869995,129.529999,3120.459961
2019-11-18,261.779999,198.820007,1295.339966,130.789993,3110.290039
2019-11-22,261.779999,198.820007,1295.339966,130.789993,3110.290039
